size_mm,distance_mm,r_over_a,max_rel_error,mean_rel_error
20.0,117.83515927270864,5.891757963635432,0.00020322697773963988,0.00011461405858912963
20.0,135.11085958736243,6.755542979368121,0.0001177534479313386,6.628216025211011e-05
20.0,154.91933384829667,7.745966692414834,6.820393086614394e-05,3.8335426837583275e-05
20.0,177.63190962812024,8.881595481406011,3.9493547018087215e-05,2.217365724484114e-05
20.0,203.6743544807051,10.183717724035255,2.2864006138939122e-05,1.2826237999153412e-05
20.0,233.53485733491692,11.676742866745846,1.3234564887225694e-05,7.419590930421889e-06
20.0,267.77318003286786,13.388659001643394,7.659750411656998e-06,4.292148088510585e-06
20.0,307.0311505664645,15.351557528323223,4.4328186666864015e-06,2.483019026254113e-06
20.0,352.04469471735746,17.60223473586787,2.5651602300453327e-06,1.436459606557866e-06
20.0,403.65763164414983,20.18288158220749,1.4843145167227798e-06,8.310226954590577e-07
20.0,462.8374920274873,23.141874601374365,8.588530926177252e-07,4.807694102103745e-07
20.0,530.6936552983144,26.534682764915715,4.969417517130216e-07,2.7814065296951556e-07
20.0,608.4981459478655,30.42490729739328,2.875303678555218e-07,1.6091420867372195e-07
20.0,697.7094787648314,34.88547393824157,1.6635198843862314e-07,9.309478603258081e-08
20.0,800.0,40.0,9.625861305155516e-08,5.385930300465289e-08
